id,customer_id,billing_address_id,channel_id,store_id,method,status_payment,amount,paid_at_date_id,paid_at_time,transaction_ref
7000000000,356,2910,1,-1,CARD,PAID,63636.0,572.0,00:50:47,TX-1HW3GM7Q6LFJ
7000000001,601,3803,1,-1,GATEWAY,PENDING,78146.4,,00:00:00,
7000000002,1234,1126,1,-1,CARD,PAID,32064.6,665.0,07:39:44,TX-8PBOWVHD7B4I
7000000003,156,3665,1,-1,CARD,PAID,30855.0,667.0,15:35:36,TX-SQ97NPWQ6YK8
7000000004,616,1293,2,4,CARD,PAID,53451.75,332.0,01:46:36,TX-F7761XS1CXDC
7000000005,614,1723,2,2,CASH,PAID,29040.0,313.0,14:54:35,TX-RNWJHS1F8G0Y
7000000006,188,1432,1,-1,CARD,REFUNDED,18442.5,804.0,12:55:56,TX-X2AJGZ36N3FR
7000000007,17,-1,1,-1,CARD,PAID,17535.0,559.0,13:15:00,TX-ZRHVYPGQTDRK
7000000008,1148,2018,1,-1,CARD,PAID,109011.0,478.0,23:29:28,TX-CHL80ZD8IP5O
7000000009,1037,1097,1,-1,GATEWAY,PAID,16718.25,331.0,18:34:46,TX-J2VP8C6ROCZQ
7000000010,1336,-1,2,1,TRANSFER,REFUNDED,17787.0,314.0,03:19:39,TX-1UN1COQAVK65
7000000011,1239,2159,2,4,CASH,PAID,41309.4,774.0,07:46:29,TX-U5CXUHGK42O6
7000000012,1426,3389,2,3,CARD,PAID,42688.8,465.0,06:38:29,TX-GS664FN80M9E
7000000013,862,1342,2,1,CASH,PAID,123283.88,688.0,14:26:14,TX-BZOPSO6JPRZD
7000000014,181,2238,1,-1,CARD,PAID,15129.6,838.0,03:46:12,TX-AD0J2NGELHNC
7000000015,700,3268,1,-1,CARD,FAILED,29659.2,,00:00:00,
7000000016,475,1585,1,-1,GATEWAY,PAID,28642.8,847.0,20:46:32,TX-Y2BIADVO9F18
7000000017,753,3052,2,2,CARD,PAID,80912.7,657.0,01:36:04,TX-O7MTCOYJ61AJ
7000000018,1151,2712,1,-1,GATEWAY,FAILED,100107.9,,00:00:00,
7000000019,793,2523,1,-1,CARD,PAID,46023.24,719.0,12:12:18,TX-EMS8E80975XQ
7000000020,866,3933,1,-1,CARD,PAID,59895.0,367.0,15:36:24,TX-EZKXQ80I4527
7000000021,1110,3246,1,-1,CARD,PAID,29659.2,874.0,01:05:51,TX-BE5NW8R3MU50
7000000022,854,2462,2,1,TRANSFER,REFUNDED,29040.0,333.0,19:16:34,TX-I1Q2G15R83Y7
7000000023,379,3098,2,3,CASH,PAID,82764.0,795.0,19:42:57,TX-3TFFR8COO0FP
7000000024,441,1528,2,2,CARD,PAID,14229.6,668.0,09:57:05,TX-91AAY0A1V9Q3
7000000025,125,2981,1,-1,CARD,PAID,86005.88,845.0,17:57:45,TX-SVYYRKPOYWM4
7000000026,1201,4164,1,-1,CARD,PAID,17535.0,590.0,07:59:48,TX-9O9IH4O8JG78
7000000027,1055,3321,1,-1,CARD,PAID,28488.0,577.0,05:44:59,TX-C245O7O7GRI9
7000000028,382,1338,1,-1,CARD,PAID,14520.0,379.0,09:11:07,TX-J6HQJG5HEW5S
7000000029,1456,1410,1,-1,CARD,PAID,79235.4,863.0,21:43:49,TX-DRZ2QYPBHF3H
7000000030,1377,3581,2,4,CARD,PAID,41382.0,768.0,19:02:55,TX-13PMNCYBLOP6
7000000031,1375,1924,2,4,CASH,PAID,28459.2,739.0,08:15:07,TX-PFV0D0IML4NF
7000000032,821,3181,1,-1,CARD,PAID,33870.0,681.0,16:37:22,TX-UM2KN2XHQSHB
7000000033,1475,3312,2,4,CASH,PAID,17787.0,400.0,12:23:04,TX-PO2UBATPZ00H
7000000034,634,2156,2,2,CASH,PAID,103318.88,564.0,15:24:31,TX-922WAHDO61XN
7000000035,585,3436,2,1,CARD,PAID,26136.0,253.0,09:54:27,TX-Y8T15028LSUX
7000000036,180,4138,1,-1,CARD,PAID,61158.0,510.0,11:59:17,TX-WSO0CISUVYK2
7000000037,482,2544,1,-1,CARD,PAID,31082.16,267.0,15:07:55,TX-VCRJJP6E0CCG
7000000038,620,1303,2,1,CARD,PAID,14229.6,273.0,23:29:21,TX-DIL01AV2R2A9
7000000039,603,4130,2,1,CARD,PAID,71583.6,384.0,19:42:33,TX-GO2N5MUY0V3U
7000000040,1028,3284,1,-1,CARD,FAILED,14994.0,,00:00:00,
7000000041,1005,-1,2,3,CASH,PAID,29657.1,255.0,03:59:03,TX-B543BB9H5C7R
7000000042,790,1738,1,-1,GATEWAY,PAID,13914.6,512.0,02:17:36,TX-X79V37PRDDTB
7000000043,665,3226,1,-1,CARD,PAID,48816.0,383.0,23:46:11,TX-3MPXSV4DAUND
7000000044,562,-1,1,-1,GATEWAY,PAID,90435.0,854.0,11:32:15,TX-4JUJUM3AY4L6
7000000045,998,3026,1,-1,GATEWAY,PAID,44460.0,274.0,22:14:28,TX-6G4YWKOODVMB
7000000046,276,-1,1,-1,CARD,PAID,39930.0,255.0,01:01:18,TX-OAGVE3OT79YR
7000000047,1469,-1,2,2,CASH,PAID,13068.0,308.0,13:53:37,TX-AL44LOCGN4MF
7000000048,408,3365,2,2,CARD,PENDING,28459.2,,00:00:00,
7000000049,1360,1174,2,2,TRANSFER,PAID,49005.0,466.0,06:35:54,TX-66ID36XC53T2
7000000050,1423,2103,1,-1,GATEWAY,PAID,35685.0,447.0,13:25:00,TX-7PTIHWUY0CDA
7000000051,741,2340,1,-1,CARD,PAID,38252.7,502.0,03:10:33,TX-F093FL0ELLCQ
7000000052,969,-1,1,-1,CARD,PAID,85377.6,551.0,16:12:44,TX-LC4H6TVD1ZOD
7000000053,729,3595,1,-1,CARD,FAILED,33570.0,,00:00:00,
7000000054,251,3465,2,4,CASH,PAID,14941.08,318.0,14:19:59,TX-BABHWIKVNZZ3
7000000055,1087,3305,2,1,CARD,PAID,51727.5,811.0,16:26:45,TX-RJQ9HE6VB7HF
7000000056,659,3446,1,-1,CARD,PAID,87140.25,711.0,04:37:15,TX-0RAAOO91OA8N
7000000057,338,1626,2,4,CASH,PAID,34394.25,660.0,13:51:12,TX-UXBOXO5T9DHX
7000000058,1068,3,1,-1,CARD,FAILED,53953.5,,00:00:00,
7000000059,958,2973,1,-1,CARD,PAID,77682.0,425.0,10:26:37,TX-7033ZUJCIUHD
7000000060,428,1333,2,4,CARD,FAILED,35283.6,,00:00:00,
7000000061,1337,1294,1,-1,CARD,PAID,15720.0,668.0,09:20:56,TX-5BCIDL8LGH8R
7000000062,1442,1692,2,3,TRANSFER,PAID,54450.0,599.0,17:02:28,TX-T7NWUQIQ9VOB
7000000063,939,4168,1,-1,GATEWAY,PAID,46323.24,393.0,23:17:58,TX-D4XNYWF5QEYL
7000000064,1409,4171,1,-1,GATEWAY,PAID,19168.5,672.0,07:45:27,TX-N8533KHZH4J5
7000000065,1062,3633,1,-1,GATEWAY,PAID,43888.8,502.0,07:43:41,TX-JPJLBWJ1IRVA
7000000066,988,2187,1,-1,GATEWAY,FAILED,43888.8,,00:00:00,
7000000067,778,2598,1,-1,GATEWAY,REFUNDED,18687.0,708.0,04:23:15,TX-MZNG9JBD25OS
7000000068,77,2743,1,-1,CARD,PAID,102166.35,579.0,01:53:38,TX-PRTYVEKSVQUQ
7000000069,700,2468,1,-1,CARD,PAID,53361.0,406.0,13:38:45,TX-4QPQRW6T77VI
7000000070,425,3743,1,-1,CARD,PAID,15420.0,815.0,03:51:05,TX-4N53JR8S1YKT
7000000071,1271,2518,2,3,CARD,PAID,14229.6,446.0,02:00:06,TX-222J0CRS0SJJ
7000000072,1129,3121,1,-1,GATEWAY,PAID,17018.25,275.0,08:20:17,TX-P43FW2ENH6BE
7000000073,1224,1481,1,-1,CARD,PAID,19576.35,584.0,19:18:19,TX-HU7AKHXTZ1YN
7000000074,446,4068,1,-1,CARD,PAID,69071.4,589.0,15:41:02,TX-TR4GSE74V5DM
7000000075,867,2940,1,-1,CARD,PAID,36474.0,689.0,08:16:20,TX-SK0540SEJOKI
7000000076,127,1419,1,-1,CARD,PAID,29659.2,302.0,10:21:11,TX-N5EHQ403IVWA
7000000077,874,1204,2,1,CASH,PAID,28459.2,581.0,03:39:17,TX-MBGQQW2NEF1F
7000000078,814,1370,1,-1,CARD,PAID,49186.5,618.0,21:43:22,TX-IKM85NPGE98X
7000000079,1189,3302,1,-1,GATEWAY,PAID,40404.0,867.0,13:56:19,TX-UIU52W85YPS8
7000000080,584,3166,1,-1,CARD,PAID,18687.0,556.0,07:28:22,TX-X6TWS79CTHK8
7000000081,1433,3156,1,-1,CARD,PAID,64788.0,639.0,23:45:35,TX-1VPIVXSYTP4J
7000000082,670,3087,1,-1,CARD,PAID,42582.0,870.0,12:27:35,TX-472J8NP9S8E9
7000000083,464,3865,1,-1,GATEWAY,REFUNDED,47301.0,284.0,09:47:09,TX-SBJLVY6L1XXX
7000000084,535,-1,1,-1,GATEWAY,PAID,19050.0,572.0,12:26:24,TX-GJJBKDYPJZ5E
7000000085,655,3535,1,-1,GATEWAY,PAID,16441.08,667.0,02:58:24,TX-4YYBKHTAB92W
7000000086,833,1851,1,-1,GATEWAY,PAID,14268.0,838.0,00:52:28,TX-H6SGL5WR6ZEB
7000000087,490,2315,1,-1,CARD,FAILED,14994.0,,00:00:00,
7000000088,360,1100,1,-1,GATEWAY,PAID,69144.0,274.0,20:58:21,TX-YO60F0EA8647
7000000089,1227,3142,1,-1,CARD,PAID,18442.5,777.0,12:09:30,TX-JKULC5L36UG4
7000000090,624,3886,1,-1,CARD,PAID,45458.25,269.0,03:31:23,TX-IO1AR1ZGZBUT
7000000091,228,2739,1,-1,GATEWAY,PAID,110342.92,290.0,18:12:47,TX-NDNQBVR081I1
7000000092,770,1526,1,-1,GATEWAY,PAID,37200.0,407.0,03:46:23,TX-7539MH4QX495
7000000093,54,3325,2,2,CASH,PAID,102456.75,560.0,08:26:31,TX-V4AUXB59ROGA
7000000094,1006,3233,2,4,CASH,PAID,90387.0,604.0,07:05:36,TX-LBRHLVO2Y93F
7000000095,247,2232,1,-1,GATEWAY,PAID,59897.1,875.0,17:29:43,TX-MBMP050ORNEE
7000000096,1127,2315,2,3,CASH,PAID,42688.8,750.0,05:43:41,TX-14WCNJXENRUU
7000000097,757,3449,2,2,CASH,PAID,18676.35,406.0,20:56:54,TX-TS02NI4GYBVJ
7000000098,520,4131,1,-1,CARD,PAID,44351.1,623.0,06:09:07,TX-2EHPQP6AIXY3
7000000099,258,2511,1,-1,CARD,PAID,14520.0,299.0,09:31:08,TX-6QBJB2NZNX9G
7000000100,467,2632,1,-1,CARD,FAILED,28909.08,,00:00:00,
7000000101,3,3636,1,-1,GATEWAY,PAID,44460.0,331.0,10:45:40,TX-N8LT25CDZBGQ
7000000102,334,3616,1,-1,CARD,PAID,43888.8,565.0,15:00:43,TX-UA4DQXIN6727
7000000103,802,1549,2,3,CASH,PENDING,37243.8,,00:00:00,
7000000104,999,1251,1,-1,CARD,REFUNDED,37500.0,324.0,12:55:17,TX-GYPM2FM72C6Z
7000000105,176,1458,1,-1,CARD,PAID,27336.0,373.0,15:27:32,TX-HSNZ6UUKGLAE
7000000106,801,1603,1,-1,GATEWAY,PAID,19050.0,647.0,02:09:53,TX-886LJXE6L2ZU
7000000107,1113,1747,1,-1,CARD,PAID,42064.2,383.0,14:56:26,TX-W9F9L785FTPB
7000000108,810,-1,2,4,CASH,PAID,56029.05,791.0,10:11:46,TX-QM24BIHB24AY
7000000109,581,1700,2,4,CARD,PAID,39930.0,355.0,16:18:05,TX-18ZITZHX2G7U
7000000110,1284,4022,2,2,TRANSFER,FAILED,82364.7,,00:00:00,
