id,customer_id,shipping_address_id,channel_id,carrier,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,tracking_number,dias_de_entrega
9000000000,356,1595,1,Correo Argentino,572.0,07:50:47,575.0,07:50:47,TRK-LM6S0ZIUQ6,3.0
9000000001,601,3534,1,Correo Argentino,272.0,01:00:04,276.0,01:00:04,TRK-S7JYRIGG48,4.0
9000000002,1234,4063,1,Correo Argentino,664.0,19:39:44,666.0,19:39:44,TRK-YI8R5NTIPW,2.0
9000000003,156,1507,1,Correo Argentino,667.0,17:35:36,671.0,17:35:36,TRK-UWNN6LXYNU,4.0
9000000004,616,4,2,PICKUP,330.0,02:46:36,331.0,02:46:36,,1.0
9000000005,614,2,2,PICKUP,312.0,20:54:35,313.0,20:54:35,,1.0
9000000006,188,2148,1,Correo Argentino,803.0,22:55:56,807.0,22:55:56,TRK-UCA7R6D2X6,4.0
9000000007,17,3577,1,Correo Argentino,557.0,20:15:00,560.0,20:15:00,TRK-EEAFDZHDID,3.0
9000000008,1148,1490,1,Correo Argentino,479.0,03:29:28,481.0,03:29:28,TRK-99ZZCRAXY6,2.0
9000000009,1037,1974,1,Correo Argentino,331.0,10:34:46,334.0,10:34:46,TRK-M4QI31HO4X,3.0
9000000010,1336,1,2,PICKUP,313.0,02:19:39,314.0,02:19:39,,1.0
9000000011,1239,4,2,PICKUP,774.0,03:46:29,775.0,03:46:29,,1.0
9000000012,1426,3,2,PICKUP,462.0,14:38:29,463.0,14:38:29,,1.0
9000000013,862,1,2,PICKUP,688.0,11:26:14,689.0,11:26:14,,1.0
9000000014,181,3917,1,Correo Argentino,837.0,12:46:12,842.0,12:46:12,TRK-TEL745CSF0,5.0
9000000015,700,1803,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000016,475,3558,1,Correo Argentino,846.0,22:46:32,851.0,22:46:32,TRK-2QJED48Q5H,5.0
9000000017,753,2,2,PICKUP,656.0,14:36:04,657.0,14:36:04,,1.0
9000000018,1151,2691,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000019,793,3612,1,Correo Argentino,718.0,04:12:18,722.0,04:12:18,TRK-LU2ZLGLEOH,4.0
9000000020,866,3374,1,Correo Argentino,368.0,01:36:24,372.0,01:36:24,TRK-UD7KW642LM,4.0
9000000021,1110,2545,1,Correo Argentino,873.0,22:05:51,875.0,22:05:51,TRK-4588YSVCZA,2.0
9000000022,854,1,2,PICKUP,331.0,02:16:34,332.0,02:16:34,,1.0
9000000023,379,3,2,PICKUP,792.0,19:42:57,793.0,19:42:57,,1.0
9000000024,441,2,2,PICKUP,667.0,15:57:05,668.0,15:57:05,,1.0
9000000025,125,1512,1,Correo Argentino,845.0,06:57:45,849.0,06:57:45,TRK-YJMLEQMJ1S,4.0
9000000026,1201,1297,1,Correo Argentino,588.0,23:59:48,591.0,23:59:48,TRK-IWZB9131BN,3.0
9000000027,1055,2858,1,Correo Argentino,578.0,01:44:59,581.0,01:44:59,TRK-F7ZF8SQ633,3.0
9000000028,382,2419,1,Correo Argentino,379.0,06:11:07,383.0,06:11:07,TRK-NW8EX6WAQP,4.0
9000000029,1456,2421,1,Correo Argentino,864.0,02:43:49,869.0,02:43:49,TRK-SNH0E9H2BV,5.0
9000000030,1377,4,2,PICKUP,766.0,19:02:55,767.0,19:02:55,,1.0
9000000031,1375,4,2,PICKUP,736.0,11:15:07,737.0,11:15:07,,1.0
9000000032,821,1920,1,Correo Argentino,681.0,14:37:22,683.0,14:37:22,TRK-AF3QHYH0G0,2.0
9000000033,1475,4,2,PICKUP,400.0,03:23:04,401.0,03:23:04,,1.0
9000000034,634,2,2,PICKUP,562.0,01:24:31,563.0,01:24:31,,1.0
9000000035,585,1,2,PICKUP,252.0,05:54:27,253.0,05:54:27,,1.0
9000000036,180,2859,1,Correo Argentino,509.0,18:59:17,512.0,18:59:17,TRK-JI1IJOL9GD,3.0
9000000037,482,3321,1,Correo Argentino,267.0,00:07:55,271.0,00:07:55,TRK-B103OLM2ZZ,4.0
9000000038,620,1,2,PICKUP,273.0,22:29:21,274.0,22:29:21,,1.0
9000000039,603,1,2,PICKUP,384.0,04:42:33,385.0,04:42:33,,1.0
9000000040,1028,2145,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000041,1005,3,2,PICKUP,254.0,09:59:03,255.0,09:59:03,,1.0
9000000042,790,1029,1,Correo Argentino,512.0,21:17:36,514.0,21:17:36,TRK-T6YEYXIY47,2.0
9000000043,665,3039,1,Correo Argentino,383.0,10:46:11,388.0,10:46:11,TRK-4BKBFC142A,5.0
9000000044,562,2131,1,Correo Argentino,852.0,12:32:15,854.0,12:32:15,TRK-OE8JOVHWT3,2.0
9000000045,998,2980,1,Correo Argentino,273.0,13:14:28,278.0,13:14:28,TRK-78RSWE9YNS,5.0
9000000046,276,1489,1,Correo Argentino,253.0,03:01:18,257.0,03:01:18,TRK-ENFRRYBCN7,4.0
9000000047,1469,2,2,PICKUP,308.0,08:53:37,309.0,08:53:37,,1.0
9000000048,408,2,2,PICKUP,497.0,16:10:57,498.0,16:10:57,,1.0
9000000049,1360,2,2,PICKUP,464.0,19:35:54,465.0,19:35:54,,1.0
9000000050,1423,1661,1,Correo Argentino,448.0,00:25:00,452.0,00:25:00,TRK-2UFL9MQ11P,4.0
9000000051,741,2863,1,Correo Argentino,500.0,06:10:33,503.0,06:10:33,TRK-TL9JNTSSQA,3.0
9000000052,969,2608,1,Correo Argentino,550.0,03:12:44,552.0,03:12:44,TRK-RK6C2JA3AN,2.0
9000000053,729,1454,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000054,251,4,2,PICKUP,316.0,02:19:59,317.0,02:19:59,,1.0
9000000055,1087,1,2,PICKUP,810.0,20:26:45,811.0,20:26:45,,1.0
9000000056,659,2887,1,Correo Argentino,709.0,15:37:15,712.0,15:37:15,TRK-F94E82XEU7,3.0
9000000057,338,4,2,PICKUP,658.0,05:51:12,659.0,05:51:12,,1.0
9000000058,1068,3071,1,Correo Argentino,,00:00:00,,00:00:00,,
9000000059,958,3535,1,Correo Argentino,424.0,13:26:37,429.0,13:26:37,TRK-GYMRRQSRNH,5.0
9000000060,428,4,2,PICKUP,,00:00:00,,00:00:00,,
